x,y,z_true,z_smooth
-1,-1.3333333333333335,-0.09572354801437566,-0.1218074447214287
-1,-1.1666666666666665,0.034198914088835845,0.0004379282412560054
-1,-1,0.15594369476537437,0.11552050086112016
-1,-0.8333333333333333,0.2658524125956592,0.21913334437844123
-1,-0.6666666666666667,0.3606324665215318,0.30734356719587375
-1,-0.5,0.4374512107325989,0.3785871542216058
-1,-0.33333333333333326,0.4940169150382271,0.43130009036382544
-1,-0.16666666666666674,0.5286442290753179,0.46391836053072066
-1,0,0.5403023058681398,0.4748779496304796
-1,0.16666666666666652,0.528644229075318,0.46325033597503584
-1,0.3333333333333335,0.4940169150382271,0.430207420753824
-1,0.5,0.4374512107325989,0.377335823191283
-1,0.6666666666666665,0.360632466521532,0.30622216251185164
-1,0.8333333333333335,0.265852412595659,0.21845305793996878
-1,1,0.15594369476537437,0.11561512870007372
-1,1.1666666666666665,0.034198914088835845,0.0013556398728680613
-1,1.3333333333333335,-0.09572354801437566,-0.12037471980129988
-1,1.5,-0.22990426425114874,-0.24753419560852044
-1,1.6666666666666665,-0.3642751017385276,-0.3780810328348849
-1,1.8333333333333335,-0.49473599814481595,-0.5099734767664844
-1,2,-0.6172728764571667,-0.6411697726894092
-0.8333333333333333,-2,-0.5612293127757414,-0.5864676763514673
-0.8333333333333333,-1.8333333333333333,-0.4286921557449603,-0.4478091951619228
-0.8333333333333333,-1.6666666666666667,-0.2884366140089744,-0.30743591267676645
-0.8333333333333333,-1.5,-0.1446329678123653,-0.17000458304083982
-0.8333333333333333,-1.3333333333333335,-0.0015338612797431421,-0.035707028145010575
-0.8333333333333333,-1.1666666666666665,0.13664658478973565,0.09717655837300142
-0.8333333333333333,-1,0.2658524125956592,0.21869093646050328
-0.8333333333333333,-0.8333333333333333,0.3823008608937767,0.32676988865563256
-0.8333333333333333,-0.6666666666666667,0.4825895645819799,0.4196715943782665
-0.8333333333333333,-0.5,0.5637929133385202,0.49535117167950143
-0.8333333333333333,-0.33333333333333326,0.6235448671818156,0.5518127484194514
-0.8333333333333333,-0.16666666666666674,0.6601059071097941,0.5870604524582308
-0.8333333333333333,0,0.6724122440830568,0.5990984116559537
-0.8333333333333333,0.16666666666666652,0.6601059071097941,0.5871540791229142
-0.8333333333333333,0.3333333333333335,0.6235448671818155,0.5525964417102407
-0.8333333333333333,0.5,0.5637929133385202,0.4976374279588441
-0.8333333333333333,0.6666666666666665,0.48258956458198005,0.42145370270265814
-0.8333333333333333,0.8333333333333335,0.38230086089377646,0.32629692854908426
-0.8333333333333333,1,0.2658524125956592,0.21873946951040646
-0.8333333333333333,1.1666666666666665,0.13664658478973565,0.09758175926996963
-0.8333333333333333,1.3333333333333335,-0.0015338612797431421,-0.034992403203632436
-0.8333333333333333,1.5,-0.1446329678123653,-0.1673356059702413
-0.8333333333333333,1.6666666666666665,-0.2884366140089742,-0.3020813235472878
-0.8333333333333333,1.8333333333333335,-0.42869215574496067,-0.44336102685253664
-0.8333333333333333,2,-0.5612293127757414,-0.5817742985463303
-0.6666666666666667,-2,-0.5118945753122262,-0.5517104638637466
-0.6666666666666667,-1.8333333333333333,-0.3709083889947646,-0.40114525953178076
-0.6666666666666667,-1.6666666666666667,-0.22238359722242435,-0.24970697446622211
-0.6666666666666667,-1.5,-0.07062113936525041,-0.10201562738325629
-0.6666666666666667,-1.3333333333333335,0.07999876573004,0.03894470731322402
-0.6666666666666667,-1.1666666666666665,0.22513997980616424,0.1792891261208111
-0.6666666666666667,-1,0.3606324665215318,0.3065797170165455
-0.6666666666666667,-0.8333333333333333,0.4825895645819799,0.4216219005998238
-0.6666666666666667,-0.6666666666666667,0.5875172368074648,0.5191972170545832
-0.6666666666666667,-0.5,0.6724122440830567,0.5978641758052429
-0.6666666666666667,-0.33333333333333326,0.734846502927666,0.6560366274501832
-0.6666666666666667,-0.16666666666666674,0.7730352715283837,0.6921284225877843
-0.6666666666666667,0,0.7858872607769479,0.7045534118164265
-0.6666666666666667,0.16666666666666652,0.7730352715283837,0.6921037869672777
-0.6666666666666667,0.3333333333333335,0.7348465029276658,0.6558187330578833
-0.6666666666666667,0.5,0.6724122440830567,0.5986717291350334
-0.6666666666666667,0.6666666666666665,0.5875172368074649,0.5190664773158835
-0.6666666666666667,0.8333333333333335,0.48258956458197966,0.4190570752638833
-0.6666666666666667,1,0.3606324665215318,0.3066833874221365
-0.6666666666666667,1.1666666666666665,0.22513997980616424,0.17953340522295969
-0.6666666666666667,1.3333333333333335,0.07999876573004,0.03925047756307106
-0.6666666666666667,1.5,-0.07062113936525041,-0.10004249491782254
-0.6666666666666667,1.6666666666666665,-0.22238359722242415,-0.24180034081006418
-0.6666666666666667,1.8333333333333335,-0.3709083889947648,-0.39132933889268356
